objectid,title,format,object_template,object_download,image_small,image_thumb,catalog number,site,unit/quad,area,ctx,sub ctx,mat class 1,mat type 1,mat class 2,mat type 2,object name,object description,manufacture 1,manufacture 2,item count,portion represented,associated with cat no.,surface feature,plastics_plastic color 1,plastics_plastic color 2,ceramic_paste color,ceramic_glaze,ceramic_decoration 1,ceramic_decor 1 description,ceramic_decor 1 color,ceramic_decoration 2,ceramic_decor 2 description,ceramic_decor 2 color,ceramic_decoration 3,ceramic_decor 3 description,ceramic_decor 3 color,glass_glass color,glass_container shape,glass_finish description 1,glass_finish description 2,glass_base description 1,glass_base description 2,glass_shoulder description,glass_neck description,glass_decoration 1 glass,glass_decoration 2 glass,maker mark,maker,maker location,product,product manufacturer,product manufacturer location,thickness/gauge (cm),length/height (cm),metal_nail d size,width (cm),rim diameter (cm),base diameter (cm),date start,date end,comments,most representative photo,faunal_animal class,faunal_species,faunal_body part,faunal_element category,faunal_element,faunal_tooth listing,faunal_side,faunal_bone modification,faunal_butchering marks,faunal_quantity
MHS_1,[MHS_1] FLATWARE - BASE (1),image/jpg,image,,,,1,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,FLATWARE,FLATWARE,,,1,BASE,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,'TONE CHINA'' UNICORN,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_2,[MHS_2] HOLLOWARE - RIM (1),image/jpg,image,,,,2,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,HOLLOWARE,HOLLOWARE,,,1,RIM,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,FLARED RIM,,,,,,,,,,,
MHS_3,[MHS_3] FLATWARE - BODY (1),image/jpg,image,,,,3,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,FLATWARE,FLATWARE,,,1,BODY,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_4,[MHS_4] HOLLOWARE - BODY (1),image/jpg,image,,,,4,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,HOLLOWARE,HOLLOWARE,,,1,BODY,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCALLOPED EDGE PREVENTED ACCURATE RIM MEASUREMENTS,,,,,,,,,,,
MHS_5,[MHS_5] FLATWARE - RIM  (2),image/jpg,image,,,,5,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,FLATWARE,FLATWARE,,,2,RIM ,,,,,WHITE,LEAD,TRANSFERPRINT,FLOWER AND LEAVES,LIGHT BLUE,MOLDED EDGE,SCALLOPED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_6,[MHS_6] HOLLOWARE - RIM (1),image/jpg,image,,,,6,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,HOLLOWARE,HOLLOWARE,,,1,RIM,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
MHS_7,[MHS_7] FLATWARE - RIM (1),image/jpg,image,,,,7,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,FLATWARE,FLATWARE,,,1,RIM,,,,,WHITE,LEAD,TRANSFERPRINT,LEAF,BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
MHS_8,[MHS_8] SAUCER - WHOLE/ENTIRE/COMPLETE (2),image/jpg,image,,,,8,MHS,22,DOWNHILL,13,,CERAMIC,PORCELAIN,,,SAUCER,SAUCER,,,2,WHOLE/ENTIRE/COMPLETE,,,,,WHITE,LEAD,DECALOMANIA,LEAVES,RED,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
MHS_9,[MHS_9] DOLL - HEAD (1),image/jpg,image,,,,9,MHS,22,DOWNHILL,13,,CERAMIC,PORCELAIN,,,DOLL,DOLL,MOLD SLIP,,1,HEAD,,,,,WHITE,LEAD,HANDPAINTED OVERGLAZE,BASE OF HAIR,BLACK,MOLDED,DOLL BODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_10,[MHS_10] FORK DISPOSABLE - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,10,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,,,FORK,FORK DISPOSABLE,MOLDED PLASTIC,,1,WHOLE/ENTIRE/COMPLETE,,,WHITE,,,,,,,,,,,,,,,,,,,,,,,'I17'',,,,,,,15,,2.5,,,,,WHITE PLASTIC DISPOSABLE FORK,,,,,,,,,,,
MHS_11,[MHS_11] CHALK SIDEWALK/CLASSROOM - UNKNOWN (1),image/jpg,image,,,,11,MHS,AREA 8,,SURFACE,,MINERAL,CHALK,,,CHALK,CHALK SIDEWALK/CLASSROOM,,,1,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,1,,0.5,,,,,BLUE SIDEWALK DRAWING CHALK,,,,,,,,,,,
MHS_12,[MHS_12] CAP RING SEAL - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,12,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,,,CAP,CAP RING SEAL,MOLDED PLASTIC,,1,WHOLE/ENTIRE/COMPLETE,,,RED,,,,,,,,,,,,,,,,,,,,,,,'OCT2815SWC'',,,,,,,3,,,3,,,10/23/2015,RED PLASTIC RING ''OCT2315SWC'' PRINTED IN BLACK WITH THIN TEETH FOR SEALING,,,,,,,,,,,
MHS_13,[MHS_13] PENCIL MECHANICAL - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,13,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,SYNTHETIC,RUBBER VULCANIZED,PENCIL,PENCIL MECHANICAL,MOLDED PLASTIC,,1,WHOLE/ENTIRE/COMPLETE,,,ORANGE,BLACK,,,,,,,,,,,,,,,,,,,,,,'MECHANICAL PENCIL 0.7MM'',,,,,,,15,,0.5,,,,,MECHANICAL PENCIL WITH ORANGE BODY AND BLACK TOP AND BOTTOM WHITE ERASER STILL CONTAINS GRAPHITE,,,,,,,,,,,
